,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Lat,Lng
374,Willowmore,4,ZA,1577644575,77,65.46,7.81,-33.3,23.49
375,Zhanaozen,99,KZ,1577644576,77,39.69,3.69,43.35,52.85
376,Ridgecrest,1,US,1577644578,64,43.0,1.77,35.62,-117.67
377,Taltal,3,CL,1577644579,66,66.34,7.31,-25.41,-70.49
378,Henties Bay,92,NA,1577644580,86,63.0,4.0,-22.12,14.28
379,Songjianghe,82,CN,1577644581,94,14.86,6.22,42.18,127.48
380,Nioro,7,GM,1577644582,7,93.7,7.38,13.79,-15.05
381,Diamantino,78,BR,1577644583,55,89.6,4.47,-14.4,-56.44
382,Comodoro Rivadavia,40,AR,1577644585,37,71.6,17.22,-45.87,-67.48
383,Guerrero Negro,0,MX,1577644586,37,60.69,5.53,27.97,-114.04
384,Buchanan,40,LR,1577644587,79,86.0,5.82,5.88,-10.05
385,Scarborough,100,GB,1577644588,87,50.0,8.05,54.28,-0.41
386,Praia da Vitoria,40,PT,1577644589,72,60.8,9.84,38.73,-27.07
387,Moerai,100,PF,1577644590,85,75.65,14.2,-22.43,-151.33
388,Mandera,87,ET,1577644591,30,90.01,7.11,3.94,41.86
389,Maputo,75,MZ,1577644593,69,78.8,12.75,-25.97,32.57
390,Haapiti,75,PF,1577644594,70,84.2,14.99,-17.57,-149.87
391,Ingham,44,AU,1577644595,96,69.35,1.32,-18.65,146.16
392,Jawhar,58,IN,1577644596,60,67.3,2.51,19.91,73.23
393,Frontera,5,MX,1577644597,65,82.4,4.7,18.53,-92.64
394,Kanevskaya,100,RU,1577644598,76,41.63,13.27,46.07,38.97
395,Saint-Pierre,71,FR,1577644600,86,35.6,5.82,48.95,4.24
396,Zhezkazgan,90,KZ,1577644601,85,14.0,8.95,47.8,67.71
397,Causapscal,96,CA,1577644602,63,27.0,10.49,48.35,-67.23
398,Kuruman,47,ZA,1577644603,71,75.0,8.23,-27.46,23.43
399,Wattegama,73,LK,1577644604,92,67.73,3.06,7.35,80.68
400,Yinchuan,2,CN,1577644605,27,17.01,1.01,38.48,106.21
401,Kaiyuan,55,CN,1577644606,93,-7.28,3.91,42.54,124.04
402,Binzhou,98,CN,1577644607,72,41.0,1.99,37.38,117.96
403,Astana,90,KZ,1577644609,85,19.4,13.42,51.13,71.43
404,Mimongo,82,GA,1577644610,95,71.01,2.84,-1.62,11.6
405,Kavieng,22,PG,1577644611,74,83.01,8.08,-2.57,150.8
406,Mikhaylovskoye,90,RU,1577644612,100,35.6,8.95,43.1,44.64
407,Sao Filipe,0,CV,1577644613,64,74.35,14.03,14.9,-24.5
408,Seabra,40,BR,1577644467,38,89.6,6.93,-12.42,-41.77
409,Mapiripan,92,CO,1577644616,80,85.08,6.6,2.89,-72.13
410,Liaozhong,73,CN,1577644617,71,5.0,8.95,41.51,122.73
411,Buenos Aires,75,AR,1577644404,55,100.99,12.75,-34.61,-58.44
412,Alice Springs,60,AU,1577644611,32,84.2,9.8,-23.7,133.88
413,Kedrovyy,100,RU,1577644621,75,-13.0,6.24,56.17,91.82
414,Luanda,40,AO,1577644622,74,82.4,8.05,-8.83,13.24
415,Gamba,0,CN,1577644623,26,11.32,0.56,28.28,88.52
416,Srednekolymsk,0,RU,1577644624,82,-35.12,1.3,67.46,153.71
417,Ciudad Bolivar,96,VE,1577644399,54,88.07,8.86,8.12,-63.55
418,Clarence Town,0,AU,1577644627,88,70.0,1.12,-32.59,151.78
419,Praya,40,ID,1577644628,94,77.0,1.23,-8.71,116.27
420,Dehloran,0,IR,1577644629,49,57.25,2.39,32.69,47.27
421,Brae,100,GB,1577644631,87,50.0,26.4,60.4,-1.35
422,Pacifica,90,US,1577644632,93,55.4,8.05,37.61,-122.49
423,Ranong,7,TH,1577644633,77,78.04,6.26,9.96,98.62
424,Sicamous,90,CA,1577644634,92,28.99,2.33,50.84,-118.99
425,Calvinia,0,ZA,1577644635,23,75.6,10.56,-31.47,19.78
426,Arrifes,20,PT,1577644636,67,59.0,6.93,37.77,-25.7
427,Sarangani,59,PH,1577644638,76,81.7,20.33,5.4,125.46
428,Castlegar,81,CA,1577644639,82,19.11,1.92,49.32,-117.66
429,Porangatu,100,BR,1577644640,64,85.32,2.44,-13.44,-49.14
430,Nguru,0,NG,1577644641,14,69.55,8.46,12.88,10.45
431,Turbat,0,PK,1577644643,67,64.0,3.69,26.0,63.05
432,Khorinsk,0,RU,1577644644,91,-24.41,3.31,52.16,109.78
433,Cochrane,97,CL,1577644645,79,51.39,4.88,-47.25,-72.57
434,Sinnamary,87,GF,1577644646,78,79.86,15.05,5.38,-52.96
435,Fredericksburg,90,US,1577644647,100,54.0,6.69,38.3,-77.46
436,Aksu,90,KZ,1577644649,92,23.0,6.71,52.04,76.93
437,Chubbuck,90,US,1577644650,85,21.2,6.93,42.93,-112.47
438,Lujan,16,AR,1577644651,35,70.84,17.67,-46.57,-67.67
439,Rawson,51,AR,1577644652,60,68.74,7.05,-43.3,-65.11
440,Winslow,73,GB,1577644653,93,45.0,8.05,51.94,-0.88
441,Dingle,0,PH,1577644655,84,70.9,8.88,11.0,122.67
442,Kawalu,100,ID,1577644656,94,72.27,1.63,-7.38,108.21
443,Cuamba,98,MZ,1577644657,95,71.55,5.59,-14.8,36.54
444,Muskogee,75,US,1577644554,81,44.01,9.17,35.75,-95.37
445,Paamiut,11,GL,1577644660,68,23.88,7.54,61.99,-49.67
446,Zyryanovsk,93,KZ,1577644661,52,7.77,2.13,49.74,84.27
447,Aswan,0,EG,1577644662,27,62.6,8.05,24.09,32.9
448,Alugan,0,PH,1577644663,77,80.31,9.44,12.22,125.48
449,Arlit,0,NE,1577644665,13,70.97,9.04,18.74,7.39
450,Antofagasta,40,CL,1577644385,73,69.8,14.99,-23.65,-70.4
451,Tateyama,97,JP,1577644667,56,48.99,4.0,36.66,137.31
452,Ferrol,10,ES,1577644668,66,55.99,2.24,43.48,-8.23
453,Novoagansk,14,RU,1577644669,93,-9.98,10.76,61.94,76.66
454,Sergeyevka,98,KZ,1577644671,95,3.67,7.65,53.88,67.42
455,Enniscorthy,75,IE,1577644672,93,51.01,14.99,52.5,-6.56
456,Muscat,20,OM,1577644561,78,71.6,3.36,23.6,58.55
457,Dunda,69,IN,1577644674,46,39.58,2.89,30.62,78.32
458,Amurzet,100,CN,1577644675,98,-4.45,5.3,47.69,131.09
459,Assiniboia,0,CA,1577644677,87,14.81,5.77,49.63,-105.99
460,Constitucion,20,MX,1577644678,17,64.0,11.41,23.99,-104.67
461,Eureka,90,US,1577644600,87,50.0,8.05,40.8,-124.16
462,Noyabrsk,56,RU,1577644680,94,-2.24,21.3,63.2,75.45
463,Krasnooktyabrskiy,75,RU,1577644681,80,44.01,11.18,44.93,38.37
464,Nakusp,100,CA,1577644683,95,16.65,1.9,50.24,-117.8
465,Catuday,3,PH,1577644684,80,79.65,12.15,16.29,119.81
466,Takoradi,40,GH,1577644685,74,82.9,12.12,4.89,-1.75
467,Miraflores,20,PE,1577644687,43,69.8,12.75,-16.39,-71.52
468,Bozuyuk,75,TR,1577644688,86,37.4,2.24,39.91,30.04
469,Havoysund,75,NO,1577644689,78,35.6,18.34,71.0,24.66
470,Doha,0,QA,1577644690,73,69.8,4.7,25.29,51.53
471,Jaboatao,40,BR,1577644692,66,84.2,12.75,-8.18,-35.0
472,Scottsbluff,90,US,1577644693,74,28.4,25.28,41.87,-103.67
473,Hovd,75,NO,1577644694,81,50.0,19.46,63.83,10.7
474,Nokia,90,FI,1577644695,100,36.0,16.11,61.48,23.51
475,Queenstown,80,ZA,1577644417,89,62.31,3.49,-31.89,26.88
476,Skala,100,GR,1577644698,39,48.0,10.29,36.85,22.66
477,Urucara,99,BR,1577644699,89,83.59,3.27,-2.54,-57.76
478,Bereda,45,ES,1577644700,66,51.8,2.24,43.27,-7.54
479,Krasnoborsk,17,RU,1577644701,74,8.2,8.88,61.56,45.93
480,Boende,45,CD,1577644703,68,78.35,4.54,-0.28,20.88
481,Aklavik,75,CA,1577644704,68,-20.2,10.29,68.22,-135.01
482,Kafue,20,ZM,1577644705,69,77.0,4.7,-15.74,28.18
483,Toktogul,100,KG,1577644707,97,23.47,1.39,41.87,72.95
484,Olinda,31,AU,1577644708,72,77.0,5.82,-37.84,145.39
485,Nesbyen,100,NO,1577644709,86,41.0,8.01,60.57,9.1
486,Chippewa Falls,90,US,1577644710,87,44.6,8.86,44.94,-91.39
487,Coihaique,71,CL,1577644712,33,71.6,6.93,-45.58,-72.07
488,Bintulu,90,MY,1577644713,100,77.0,11.41,3.17,113.03
489,Kashan,0,IR,1577644714,60,47.66,1.12,33.99,51.44
490,Pryazha,100,RU,1577644715,79,24.8,15.66,61.69,33.62
491,Oranjestad,40,AW,1577644717,62,87.8,18.34,12.52,-70.03
492,Onega,100,RU,1577644718,95,24.33,18.23,63.91,38.09
493,Yarmouth,75,CA,1577644719,59,36.0,19.46,43.84,-66.12
494,Genteng,79,ID,1577644720,84,74.28,2.75,-8.36,114.15
495,Quesnel,75,CA,1577644721,92,23.0,2.8,52.98,-122.49
496,Nyrob,28,RU,1577644723,88,-4.05,2.98,60.74,56.73
497,Ostrov,50,RU,1577644724,79,26.6,11.18,57.34,28.36
498,Ust-Kuyga,52,RU,1577644725,91,-34.56,9.31,70.0,135.55
499,Naze,90,NG,1577644726,61,80.6,1.79,5.43,7.07
500,Makurdi,94,NG,1577644728,14,83.16,1.61,7.73,8.54
501,Belaya Gora,0,RU,1577644729,82,-33.57,2.55,68.54,146.19
502,Baraboo,75,US,1577644730,81,55.4,9.17,43.47,-89.74
503,Polis,75,CY,1577644731,87,53.6,10.29,35.04,32.42
504,Fallon,90,US,1577644732,92,21.0,10.29,46.84,-105.12
505,Santo Antonio do Ica,96,BR,1577644734,90,81.16,4.38,-3.1,-67.94
506,Klaksvik,78,FO,1577644735,81,44.6,14.99,62.23,-6.59
507,Spring Valley,40,US,1577644736,82,55.99,14.99,41.33,-89.2
508,Yatou,40,CM,1577644737,74,86.0,1.12,3.63,9.81
509,Jaitaran,0,IN,1577644738,32,53.17,11.12,26.2,73.94
510,Jingdezhen,85,CN,1577644740,84,48.74,3.38,29.29,117.2
511,Eganville,20,CA,1577644741,86,30.0,3.36,45.54,-77.1
512,Bandundu,99,CD,1577644742,90,73.71,4.59,-3.32,17.38
513,Linxia,0,CN,1577644743,44,16.27,0.78,35.6,103.21
514,High Level,90,CA,1577644745,91,3.2,12.75,58.52,-117.13
515,Buenaventura,6,CO,1577644746,89,81.77,7.38,3.89,-77.07
516,Maldonado,75,UY,1577644747,62,86.0,10.29,-34.91,-54.96
517,Gornopravdinsk,0,RU,1577644748,89,-10.46,0.16,60.06,69.92
518,Santiago del Estero,100,AR,1577644749,50,92.19,10.38,-27.8,-64.26
519,Beringovskiy,0,RU,1577644751,83,-6.07,17.29,63.05,179.32
520,Mehamn,75,NO,1577644752,80,35.6,23.04,71.03,27.85
521,Belfast,100,GB,1577644528,76,53.6,12.75,54.6,-5.93
522,Moa,58,CU,1577644754,72,78.1,8.37,20.66,-74.95
523,Lagoa,0,PT,1577644755,67,60.01,6.93,37.14,-8.45
524,Alta Floresta,66,BR,1577644757,67,85.51,3.69,-9.87,-56.08
525,Bilma,0,NE,1577644758,21,62.69,8.52,18.69,12.92
526,Benicarlo,0,ES,1577644759,87,43.0,1.01,40.42,0.43
527,Vila Franca do Campo,20,PT,1577644760,67,59.0,6.93,37.72,-25.43
528,Kargasok,100,RU,1577644762,95,-8.97,5.39,59.06,80.87
529,Puro,5,PH,1577644763,86,76.96,5.7,13.13,123.76
530,Surt,24,LY,1577644480,60,51.87,19.01,31.21,16.59
531,Shihezi,80,CN,1577644765,95,10.04,4.54,44.3,86.03
532,Dhidhdhoo,83,MV,1577644766,73,82.08,9.51,6.88,73.1
533,Pisco,90,PE,1577644767,30,71.6,10.29,-13.71,-76.2
534,Monster,68,NL,1577644768,66,41.0,10.29,52.03,4.17
535,Dunedin,100,NZ,1577644769,78,57.0,17.0,-45.87,170.5
536,Aquiraz,20,BR,1577644771,58,87.8,18.34,-3.9,-38.39
537,Mattru,0,SL,1577644772,68,83.25,6.91,7.62,-11.83
538,Shimoda,100,JP,1577644773,71,46.99,1.01,34.7,138.93
539,Hirara,100,JP,1577644745,90,73.0,2.71,24.8,125.28
540,Ravar,0,IR,1577644775,44,48.04,1.83,31.27,56.81
541,Balmazujvaros,0,HU,1577644776,74,30.2,17.22,47.62,21.35
542,Mailsi,0,PK,1577644778,18,48.63,1.54,29.8,72.18
543,San Ramon,40,NI,1577644779,69,75.2,4.7,12.92,-85.84
544,Yangambi,21,CD,1577644780,51,78.15,2.19,0.77,24.47
545,Boa Esperanca,100,BR,1577644781,82,80.11,2.19,-1.91,-60.0
546,Pervomayskoye,100,RU,1577644782,88,-3.8,4.32,57.07,86.23
547,Rafai,62,CF,1577644783,22,75.56,2.15,4.95,23.92
548,Aden,58,YE,1577644785,60,76.93,6.46,12.79,45.03
549,Ekhabi,100,RU,1577644786,96,-1.79,15.93,53.51,142.97
550,Wanning,31,AT,1577644787,86,28.0,1.12,48.64,13.53
551,Road Town,20,VG,1577644788,70,84.2,5.82,18.42,-64.62
552,Blantyre,80,MW,1577644789,94,70.29,7.58,-15.79,35.0
553,Burnie,1,AU,1577644791,63,61.0,5.01,-41.05,145.91
554,Moose Factory,90,CA,1577644514,79,19.4,5.82,51.26,-80.61
555,Verkhnevilyuysk,23,RU,1577644793,94,-26.52,5.79,63.45,120.31
